feature_index,desc,value
93,"std  grid(0,1) bin=3 [uniform (~3 ones)]",0.004359414801001549
94,"std  grid(0,1) bin=4 [uniform (~4 ones)]",0.0056582121178507805
95,"std  grid(0,1) bin=5 [uniform (~5 ones)]",0.009024446830153465
96,"std  grid(0,1) bin=6 [uniform (~6 ones)]",0.005878954194486141
97,"std  grid(0,1) bin=7 [uniform (~7 ones)]",0.01933145336806774
98,"std  grid(0,1) bin=8 [uniform (~8 ones)]",0.050746239721775055
99,"std  grid(0,1) bin=9 [uniform (~9 ones)]",0.016430892050266266
100,"std  grid(0,1) bin=10 [uniform (~10 ones)]",0.006664286833256483
101,"std  grid(0,1) bin=11 [uniform (~11 ones)]",0.030072681605815887
102,"std  grid(0,1) bin=12 [uniform (~12 ones)]",0.015725398436188698
103,"std  grid(0,1) bin=13 [uniform (~13 ones)]",0.0041602663695812225
104,"std  grid(0,1) bin=14 [uniform (~14 ones)]",0.001916504348628223
105,"std  grid(0,1) bin=15 [uniform (~15 ones)]",0.0033963609021157026
106,"std  grid(0,1) bin=16 [uniform (~16 ones)]",0.034456729888916016
107,"std  grid(0,1) bin=17 [non-uniform]",0.020057594403624535
108,"std  grid(1,0) bin=0 [uniform (~0 ones)]",0.0032306541688740253
109,"std  grid(1,0) bin=1 [uniform (~1 ones)]",0.0035459038335829973
110,"std  grid(1,0) bin=2 [uniform (~2 ones)]",0.002260183449834585
111,"std  grid(1,0) bin=3 [uniform (~3 ones)]",0.004005616996437311
112,"std  grid(1,0) bin=4 [uniform (~4 ones)]",0.005133884958922863
113,"std  grid(1,0) bin=5 [uniform (~5 ones)]",0.011827576905488968
114,"std  grid(1,0) bin=6 [uniform (~6 ones)]",0.007887165062129498
115,"std  grid(1,0) bin=7 [uniform (~7 ones)]",0.01286347210407257
116,"std  grid(1,0) bin=8 [uniform (~8 ones)]",0.048298921436071396
117,"std  grid(1,0) bin=9 [uniform (~9 ones)]",0.015794895589351654
118,"std  grid(1,0) bin=10 [uniform (~10 ones)]",0.006491833366453648
119,"std  grid(1,0) bin=11 [uniform (~11 ones)]",0.0238832775503397
120,"std  grid(1,0) bin=12 [uniform (~12 ones)]",0.014573843218386173
121,"std  grid(1,0) bin=13 [uniform (~13 ones)]",0.004133145324885845
122,"std  grid(1,0) bin=14 [uniform (~14 ones)]",0.002545303665101528
123,"std  grid(1,0) bin=15 [uniform (~15 ones)]",0.003388967365026474
124,"std  grid(1,0) bin=16 [uniform (~16 ones)]",0.016218798235058784
125,"std  grid(1,0) bin=17 [non-uniform]",0.014589831233024597
126,"std  grid(1,1) bin=0 [uniform (~0 ones)]",0.0030599161982536316
127,"std  grid(1,1) bin=1 [uniform (~1 ones)]",0.0033786382991820574
128,"std  grid(1,1) bin=2 [uniform (~2 ones)]",0.0036013515200465918
129,"std  grid(1,1) bin=3 [uniform (~3 ones)]",0.004170074127614498
130,"std  grid(1,1) bin=4 [uniform (~4 ones)]",0.005342968739569187
131,"std  grid(1,1) bin=5 [uniform (~5 ones)]",0.006928366143256426
132,"std  grid(1,1) bin=6 [uniform (~6 ones)]",0.005414550192654133
133,"std  grid(1,1) bin=7 [uniform (~7 ones)]",0.01728026382625103
134,"std  grid(1,1) bin=8 [uniform (~8 ones)]",0.044380031526088715
135,"std  grid(1,1) bin=9 [uniform (~9 ones)]",0.016698574647307396
136,"std  grid(1,1) bin=10 [uniform (~10 ones)]",0.0076964558102190495
137,"std  grid(1,1) bin=11 [uniform (~11 ones)]",0.02695244736969471
138,"std  grid(1,1) bin=12 [uniform (~12 ones)]",0.013578829355537891
139,"std  grid(1,1) bin=13 [uniform (~13 ones)]",0.003508196212351322
140,"std  grid(1,1) bin=14 [uniform (~14 ones)]",0.002342705614864826
141,"std  grid(1,1) bin=15 [uniform (~15 ones)]",0.002383737824857235
142,"std  grid(1,1) bin=16 [uniform (~16 ones)]",0.03404812514781952
143,"std  grid(1,1) bin=17 [non-uniform]",0.014356705360114574
