base_feature_index,desc,mean,std
51,"grid(1,0) bin=15 [uniform (~15 ones)]",0.01315918006002903,0.003388967365026474
52,"grid(1,0) bin=16 [uniform (~16 ones)]",0.05014742165803909,0.016218798235058784
53,"grid(1,0) bin=17 [non-uniform]",0.0715031549334526,0.014589831233024597
54,"grid(1,1) bin=0 [uniform (~0 ones)]",0.0076904296875,0.0030599161982536316
55,"grid(1,1) bin=1 [uniform (~1 ones)]",0.009546837769448757,0.0033786382991820574
56,"grid(1,1) bin=2 [uniform (~2 ones)]",0.014232459478080273,0.0036013515200465918
57,"grid(1,1) bin=3 [uniform (~3 ones)]",0.018996018916368484,0.004170074127614498
58,"grid(1,1) bin=4 [uniform (~4 ones)]",0.018303973600268364,0.005342968739569187
59,"grid(1,1) bin=5 [uniform (~5 ones)]",0.0369873046875,0.006928366143256426
60,"grid(1,1) bin=6 [uniform (~6 ones)]",0.0583345852792263,0.005414550192654133
61,"grid(1,1) bin=7 [uniform (~7 ones)]",0.12132098525762558,0.01728026382625103
62,"grid(1,1) bin=8 [uniform (~8 ones)]",0.1928410530090332,0.044380031526088715
63,"grid(1,1) bin=9 [uniform (~9 ones)]",0.15931396186351776,0.016698574647307396
64,"grid(1,1) bin=10 [uniform (~10 ones)]",0.0661470890045166,0.0076964558102190495
65,"grid(1,1) bin=11 [uniform (~11 ones)]",0.06938570737838745,0.02695244736969471
66,"grid(1,1) bin=12 [uniform (~12 ones)]",0.03637601435184479,0.013578829355537891
67,"grid(1,1) bin=13 [uniform (~13 ones)]",0.025608474388718605,0.003508196212351322
68,"grid(1,1) bin=14 [uniform (~14 ones)]",0.01905048079788685,0.002342705614864826
69,"grid(1,1) bin=15 [uniform (~15 ones)]",0.011514047160744667,0.002383737824857235
70,"grid(1,1) bin=16 [uniform (~16 ones)]",0.0687481239438057,0.03404812514781952
71,"grid(1,1) bin=17 [non-uniform]",0.06560246646404266,0.014356705360114574
